title,platforms,rating,votes,developer,release_date,price,genres,url
Mortal Kombat 11,"['PS4', 'PS5']",4.5,72924,Warner Bros. Interactive,2020-11-17,49.99,['Fighting'],https://store.playstation.com/en-us/concept/231756
Black Desert: Traveler Edition,['PS4'],3.81,13021,Pearl Abyss,2023-05-17,5.99,"['Role Playing Games', 'Role Playing Games']",https://store.playstation.com/en-us/concept/233032
DC Universe Online Free to Play,"['PS4', 'PS5']",4.14,350144,Daybreak Games,2024-03-26,0.0,"['Action', 'Role Playing Games', 'Role Playing Games']",https://store.playstation.com/en-us/concept/200995
Call of Duty®: Black Ops 4,['PS4'],4.17,166365,Activision,2019-04-30,59.99,"['Shooter', 'Shooter']",https://store.playstation.com/en-us/concept/232300
Hi-Fi RUSH,['PS5'],4.85,2976,Bethesda Softworks,2024-03-19,17.99,['Action'],https://store.playstation.com/en-us/concept/10008685
Fall Guys,"['PS4', 'PS5']",4.15,321839,Epic Games,2022-06-21,0.0,['Family'],https://store.playstation.com/en-us/concept/10003354
Five Nights at Freddy's: Security Breach,"['PS4', 'PS5']",4.42,29910,STEEL WOOL GAMES,2021-12-16,19.99,['Horror'],https://store.playstation.com/en-us/concept/10001137
Remnant II® - Standard Edition,['PS5'],4.63,8070,Gearbox Publishing,2023-07-25,29.99,"['Adventure', 'Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10004544
No Man's Sky PS4 & PS5,"['PS4', 'PS5']",3.82,86316,Hello Games LTD,2020-11-12,29.99,"['Action', 'Adventure', 'Unique']",https://store.playstation.com/en-us/concept/216600
Dying Light 2 Stay Human PS4&PS5,"['PS4', 'PS5']",4.14,15909,TECHLAND PUBLISHING,2022-02-04,29.99,['Unique'],https://store.playstation.com/en-us/concept/232374
Sekiro™: Shadows Die Twice - Game of the Year Edition,['PS4'],4.64,42271,Activision,2019-03-22,59.99,"['Action', 'Adventure', 'Adventure']",https://store.playstation.com/en-us/concept/232898
Tom Clancy's Ghost Recon® Breakpoint,['PS4'],4.13,50788,Ubisoft Entertainment,2019-10-04,0.0,"['Action', 'Shooter', 'Shooter']",https://store.playstation.com/en-us/concept/233112
Bloodborne™,['PS4'],4.73,225597,Sony Interactive Entertainment,2015-03-24,19.99,"['Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/200520
Monster Hunter Rise PS4 & PS5,"['PS4', 'PS5']",4.53,6229,"Capcom U.S.A., Inc.",2023-01-20,9.99,"['Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10005250
THE FINALS,['PS5'],4.19,27026,Embark Studios AB,2023-12-08,0.0,['Shooter'],https://store.playstation.com/en-us/concept/10006873
Predecessor,"['PS4', 'PS5']",4.37,4328,Omeda Studios Limited,2024-03-28,0.0,"['Action', 'Strategy']",https://store.playstation.com/en-us/concept/10003763
